ticker	acao	setor	research	fechamento	rating	preco_alvo
RAIL3	Rumo S.A.	Transporte e Logística - Bens de Capital	1	01/12/2021	Compra	25
ARZZ3	Arezzo & Co	Bens de Consumo e Varejo	1	01/12/2021	Compra	100
BIDI11	Banco Inter	Serviços bancários e financeiros	4	01/12/2021	Compra	67
HBSA3	Hidrovias do Brasil	Transporte e Logística - Bens de Capital	5	02/12/2021	Compra	10
OFSA3	Ouro Fino	Agronegócio	5	02/12/2021	Compra	52
RAIL3	Rumo S.A.	Transporte e Logística - Bens de Capital	5	02/12/2021	Compra	27
SLCE3	SLC Agricola	Agronegócio	5	02/12/2021	Compra	55
SMTO3	São Martinho	Agronegócio	5	02/12/2021	Compra	42
SOJA3	Boa Safra	Agronegócio	5	02/12/2021	Compra	19
ABCB4	Banco ABC Brasil	Serviços bancários e financeiros	5	02/12/2021	Compra	24
B3SA3	B3	Serviços bancários e financeiros	5	02/12/2021	Compra	22
BBAS3	Banco do Brasil	Serviços bancários e financeiros	5	02/12/2021	Compra	42
BBDC4	Bradesco	Serviços bancários e financeiros	5	02/12/2021	Neutra	25
BBSE3	BB Seguridade	Serviços bancários e financeiros	5	02/12/2021	Compra	32
BOAS3	Boa Vista Serviços	Serviços bancários e financeiros	5	02/12/2021	Compra	16
BIDI11	Banco Inter	Serviços bancários e financeiros	5	02/12/2021	Compra	77
BPAC11	Banco BTG Pactual	Serviços bancários e financeiros	5	02/12/2021	Compra	34
BPAN4	Banco Pan	Serviços bancários e financeiros	5	02/12/2021	Compra	25
BRSR6	Banrisul	Serviços bancários e financeiros	5	02/12/2021	Neutra	15
BRBI11	BR Advisory Partners Participacoes AS	Serviços bancários e financeiros	5	02/12/2021	Compra	30
CASH3	Meliuz	Serviços bancários e financeiros	5	02/12/2021	Compra	11
CIEL3	Cielo	Serviços bancários e financeiros	5	02/12/2021	Neutra	5
CXSE3	Caixa Seguridade	Serviços bancários e financeiros	5	02/12/2021	Compra	18
DOTZ3	Dotz	Serviços bancários e financeiros	5	02/12/2021	Compra	22
IRBR3	IRB Brasil RE	Serviços bancários e financeiros	5	02/12/2021	Sob Revisão	 - 
MOSI3	Mosaico	Bens de Consumo e Varejo	5	02/12/2021	Neutra	13
MODL11	Banco Modal	Serviços bancários e financeiros	5	02/12/2021	Neutra	20
PAGS	Pag Seguro	Serviços bancários e financeiros	5	02/12/2021	Compra	70
PAX	Patria Investments	Serviços bancários e financeiros	5	02/12/2021	Compra	21
SANB11	Banco Santander Brasil	Serviços bancários e financeiros	5	02/12/2021	Neutra	41
STNE	Stoneco Ltda	Serviços bancários e financeiros	5	02/12/2021	Compra	65
VINP	Vinci Partners	Serviços bancários e financeiros	5	02/12/2021	Compra	18
WIZS3	WIZ	Serviços bancários e financeiros	5	02/12/2021	Compra	23
AMAR3	Lojas Marisa	Bens de Consumo e Varejo	5	02/12/2021	Sob Revisão	 - 
ALLD3	Allied	Bens de Consumo e Varejo	5	02/12/2021	Compra	32
ARCO	Arcos Dorados	Bens de Consumo e Varejo	5	02/12/2021	Compra	8
ASAI3	Assaí	Bens de Consumo e Varejo	5	02/12/2021	Neutra	20
BKBR3	BK Brasil	Bens de Consumo e Varejo	5	02/12/2021	Compra	13
AMER3	Americanas S.A.	Bens de Consumo e Varejo	5	02/12/2021	Compra	74
SBFG3	Grupo SBF	Bens de Consumo e Varejo	5	02/12/2021	Neutra	40
CRFB3	Carrefour	Bens de Consumo e Varejo	5	02/12/2021	Compra	30
CVCB3	CVC	Bens de Consumo e Varejo	5	02/12/2021	Sob Revisão	 - 
ESPA3	Espaçolaser	Bens de Consumo e Varejo	5	02/12/2021	Compra	22
GMAT3	Grupo Mateus	Bens de Consumo e Varejo	5	02/12/2021	Compra	11
GUAR3	Guararapes	Bens de Consumo e Varejo	5	02/12/2021	Compra	25
HGTX3	Cia Henrig	Bens de Consumo e Varejo	5	02/12/2021	Sob Revisão	 - 
HYPE3	Hypera Pharma	Bens de Consumo e Varejo	5	02/12/2021	Compra	41
LAME4	Lojas Americanas	Bens de Consumo e Varejo	5	02/12/2021	Compra	29
LJQQ3	Lojas Quero-quero	Bens de Consumo e Varejo	5	02/12/2021	Compra	25
LREN3	Lojas Renner	Bens de Consumo e Varejo	5	02/12/2021	Compra	51
MEAL3	IMC	Bens de Consumo e Varejo	5	02/12/2021	Neutra	5
